# Architecture 2.0: Granular Silicon Errata & Defect Archaeology Dataset
# Extraction Timestamp: 2026-08-24T09:39:07.847358+00:00
# Total Processor Families: 19
# Total Itemized Errata: 1771
# Primary Source Documents & Cryptographic Hashes (SHA256):
#   - Broadwell-EP              | 334165-007US       | SHA256: aa5667e23db98656ec0c3b46be19f7db40a1ceb8bb8479c8dee605748397017d | https://cdrdv2.intel.com/v1/dl/getContent/334165
#   - Skylake-SP                | 336065-017US       | SHA256: 0b4429daf3a28ba81d9da8fc739df208370f75cf2ec1588492418c181c3add1b | https://cdrdv2.intel.com/v1/dl/getContent/336065
#   - Cascade Lake              | 338848-016US       | SHA256: 49ba22ce4851f6c44245ea94e7ee3273bb447f0ba34c0238c5d71eb6e39f1940 | https://cdrdv2.intel.com/v1/dl/getContent/338848
#   - Ice Lake-SP               | 637780-008US       | SHA256: b7bdf798371941505dad79d190d90995cd20872437cddf74ef0e18591549f8d3 | https://cdrdv2.intel.com/v1/dl/getContent/637780
#   - Sapphire Rapids           | 772415-022US       | SHA256: ab8c4f13e7e0560ab91bbc08652457ce274240d1c1c906ed59cbc7e8f4039454 | https://cdrdv2.intel.com/v1/dl/getContent/772415
#   - Emerald Rapids            | 793902-008US       | SHA256: 8291e69871b384d2b7af27854fb62fd4c417fe2092cff4fa4d9e8678f6c1e33e | https://cdrdv2.intel.com/v1/dl/getContent/793902
#   - Coffee Lake               | 337346-015US       | SHA256: 454ba48aa5b74f63764e38f17c82bbc6ad2acb621304ba1b41655a1846d5e5f4 | https://cdrdv2.intel.com/v1/dl/getContent/337346
#   - Ice Lake-U / Comet Lake   | 341079-011US       | SHA256: e8b42aac9d0af23eefee822acc8442bd544f56c53070b4b91f38e029b91e753c | https://cdrdv2.intel.com/v1/dl/getContent/341079
#   - Rocket Lake               | 634808-005US       | SHA256: 7e28cacfd053acaf1ec4e007702f09e1aa449d2bc6c945908160765d439c9c33 | https://cdrdv2.intel.com/v1/dl/getContent/634808
#   - Tiger Lake                | 631123-010US       | SHA256: 9eaacfd64a426fa384034a91a73d59b5262ce2d01381d71429adfad4779f3e4f | https://cdrdv2.intel.com/v1/dl/getContent/631123
#   - Alder Lake                | 682436-037US       | SHA256: ee18ebef2274e289f20d364f2046aefdfc9d1626e89994ceebc2ab99a561d6f0 | https://cdrdv2.intel.com/v1/dl/getContent/682436
#   - Raptor Lake               | 740518-019US       | SHA256: bb06d3c89d30b12dae667bb342c0366db6efdda7e5ec8e0683678af399b4f167 | https://cdrdv2.intel.com/v1/dl/getContent/740518
#   - Meteor Lake               | 792254-009US       | SHA256: 98f4ca933df0fe632c71cc13013b1b24c4e4ee6569ab5285a5e60d2d41618804 | https://cdrdv2.intel.com/v1/dl/getContent/792254
#   - Lunar Lake                | 827538-003US       | SHA256: 26a3fc9ce5c83636d9b2c89f6dcdbac0b394dc30676fad10d9571e506b65a24b | https://cdrdv2.intel.com/v1/dl/getContent/827538
#   - Arrow Lake                | 834774-001US       | SHA256: b6426e3432838dbe19ba8abc99da0075df1c0aa688d3c599c6b6a07c72789805 | https://cdrdv2.intel.com/v1/dl/getContent/834774
#   - Zen 1 (Naples)            | 55449 Rev 1.21     | SHA256: 9345cdd3a297b317b2b02098b1b31c9fa7ec504f0ec36dd5da15ad99410e241f | https://docs.amd.com/api/khub/documents/abOrVU_gcO7ZsC3qDF4uNQ/content
#   - Zen 2 (Rome)              | 56323 Rev 1.15     | SHA256: db6c4662272e0278b1a7e89bed3d17a600b15e07f18063fb648c281e7fe2bfff | https://docs.amd.com/api/khub/documents/V2_PYRjhtUCkuQy_LbO5Zg/content
#   - Zen 4 (Genoa)             | 57926 Rev 1.09     | SHA256: 0244dcb4d3ca209782518909ca17860b455046c32b5035864398733e795c8da5 | https://docs.amd.com/api/khub/documents/aBaGVEhC_kN7n61TYp_76A/content
#   - Zen 5 (Turin)             | 58730 Rev 1.03     | SHA256: fd66fb68ffdd58fbff75ad7354622ef4e2fd64002817d2daaf4eecbd13e7105d | https://docs.amd.com/api/khub/documents/l7TodT1HuS0vIc3~4AgUvw/content
#
processor_name,vendor,launch_year,erratum_id,title,subsystem_category,symptom,workaround_type,status,source_doc_id,source_doc_url,source_doc_sha256,extraction_timestamp
Broadwell-EP,Intel,2016,BDX13,LER MSRs May Be Unreliable,Virtualization / MMU / IOMMU,Unexpected Exception / Crash,Doc Waiver / No Fix,No Fix Planned,334165-007US,https://cdrdv2.intel.com/v1/dl/getContent/334165,aa5667e23db98656ec0c3b46be19f7db40a1ceb8bb8479c8dee605748397017d,2026-08-24T09:39:07.847358+00:00
Broadwell-EP,Intel,2016,BDX14,MONITOR or CLFLUSH on the Local XAPIC's Address Space Results in Hang,PCIe / CXL / Platform IO,System Hang / Deadlock,Doc Waiver / No Fix,No Fix Planned,334165-007US,https://cdrdv2.intel.com/v1/dl/getContent/334165,aa5667e23db98656ec0c3b46be19f7db40a1ceb8bb8479c8dee605748397017d,2026-08-24T09:39:07.847358+00:00
Broadwell-EP,Intel,2016,BDX15,#GP on Segment Selector Descriptor that Straddles Canonical Boundary May Not Provide Correct Exception Error Code,Virtualization / MMU / IOMMU,Unexpected Exception / Crash,Doc Waiver / No Fix,No Fix Planned,334165-007US,https://cdrdv2.intel.com/v1/dl/getContent/334165,aa5667e23db98656ec0c3b46be19f7db40a1ceb8bb8479c8dee605748397017d,2026-08-24T09:39:07.847358+00:00
Broadwell-EP,Intel,2016,BDX16,FREEZE_WHILE_SMM Does Not Prevent Event From Pending PEBS During SMM,Debug / Trace / Telemetry,System Hang / Deadlock,Doc Waiver / No Fix,No Fix Planned,334165-007US,https://cdrdv2.intel.com/v1/dl/getContent/334165,aa5667e23db98656ec0c3b46be19f7db40a1ceb8bb8479c8dee605748397017d,2026-08-24T09:39:07.847358+00:00
Broadwell-EP,Intel,2016,BDX17,APIC Error “Received Illegal Vector” May Be Lost,Execution Units / ALU,Unexpected Exception / Crash,Doc Waiver / No Fix,No Fix Planned,334165-007US,https://cdrdv2.intel.com/v1/dl/getContent/334165,aa5667e23db98656ec0c3b46be19f7db40a1ceb8bb8479c8dee605748397017d,2026-08-24T09:39:07.847358+00:00
Broadwell-EP,Intel,2016,BDX18,Performance Monitor Precise Instruction Retired Event May Present Wrong Indications,Debug / Trace / Telemetry,Unexpected Exception / Crash,OS / Compiler Flag,No Fix Planned,334165-007US,https://cdrdv2.intel.com/v1/dl/getContent/334165,aa5667e23db98656ec0c3b46be19f7db40a1ceb8bb8479c8dee605748397017d,2026-08-24T09:39:07.847358+00:00
Broadwell-EP,Intel,2016,BDX19,CR0.CD Is Ignored in VMX Operation,Virtualization / MMU / IOMMU,Unexpected Exception / Crash,Doc Waiver / No Fix,No Fix Planned,334165-007US,https://cdrdv2.intel.com/v1/dl/getContent/334165,aa5667e23db98656ec0c3b46be19f7db40a1ceb8bb8479c8dee605748397017d,2026-08-24T09:39:07.847358+00:00
Broadwell-EP,Intel,2016,BDX20,Instruction Fetch May Cause Machine Check if Page Size and Memory Type Was Changed Without Invalidation,Cache Coherence / NoC,System Hang / Deadlock,OS / Compiler Flag,No Fix Planned,334165-007US,https://cdrdv2.intel.com/v1/dl/getContent/334165,aa5667e23db98656ec0c3b46be19f7db40a1ceb8bb8479c8dee605748397017d,2026-08-24T09:39:07.847358+00:00
Broadwell-EP,Intel,2016,BDX21,Execution of VAESIMC or VAESKEYGENASSIST With An Illegal Value for VEX.vvvv May Produce a #NM Exception,Virtualization / MMU / IOMMU,Unexpected Exception / Crash,OS / Compiler Flag,No Fix Planned,334165-007US,https://cdrdv2.intel.com/v1/dl/getContent/334165,aa5667e23db98656ec0c3b46be19f7db40a1ceb8bb8479c8dee605748397017d,2026-08-24T09:39:07.847358+00:00
Broadwell-EP,Intel,2016,BDX22,Interrupt From Local APIC Timer May Not Be Detectable While Being Delivered,Execution Units / ALU,Unexpected Exception / Crash,OS / Compiler Flag,No Fix Planned,334165-007US,https://cdrdv2.intel.com/v1/dl/getContent/334165,aa5667e23db98656ec0c3b46be19f7db40a1ceb8bb8479c8dee605748397017d,2026-08-24T09:39:07.847358+00:00
Broadwell-EP,Intel,2016,BDX23,Pending x87 FPU Exceptions (#MF) May Be Signaled Earlier Than Expected,Virtualization / MMU / IOMMU,Unexpected Exception / Crash,Doc Waiver / No Fix,No Fix Planned,334165-007US,https://cdrdv2.intel.com/v1/dl/getContent/334165,aa5667e23db98656ec0c3b46be19f7db40a1ceb8bb8479c8dee605748397017d,2026-08-24T09:39:07.847358+00:00
Broadwell-EP,Intel,2016,BDX24,DR6.B0-B3 May Not Report All Breakpoints Matched When a MOV/POP SS Is Followed by a Store or an MMX Instruction,Virtualization / MMU / IOMMU,Unexpected Exception / Crash,Doc Waiver / No Fix,No Fix Planned,334165-007US,https://cdrdv2.intel.com/v1/dl/getContent/334165,aa5667e23db98656ec0c3b46be19f7db40a1ceb8bb8479c8dee605748397017d,2026-08-24T09:39:07.847358+00:00
Broadwell-EP,Intel,2016,BDX25,VEX.L Is Not Ignored with VCVT*2SI Instructions,Memory Hierarchy,Unexpected Exception / Crash,OS / Compiler Flag,No Fix Planned,334165-007US,https://cdrdv2.intel.com/v1/dl/getContent/334165,aa5667e23db98656ec0c3b46be19f7db40a1ceb8bb8479c8dee605748397017d,2026-08-24T09:39:07.847358+00:00
Broadwell-EP,Intel,2016,BDX26,Processor  May Livelock During On Demand Clock Modulation,Cache Coherence / NoC,System Hang / Deadlock,Microcode Patch,No Fix Planned,334165-007US,https://cdrdv2.intel.com/v1/dl/getContent/334165,aa5667e23db98656ec0c3b46be19f7db40a1ceb8bb8479c8dee605748397017d,2026-08-24T09:39:07.847358+00:00
Broadwell-EP,Intel,2016,BDX27,Performance Monitor Events OTHER_ASSISTS.AVX_TO_SSE And OTHER_ASSISTS.SSE_TO_AVX May Over Count,Debug / Trace / Telemetry,Unexpected Exception / Crash,Doc Waiver / No Fix,No Fix Planned,334165-007US,https://cdrdv2.intel.com/v1/dl/getContent/334165,aa5667e23db98656ec0c3b46be19f7db40a1ceb8bb8479c8dee605748397017d,2026-08-24T09:39:07.847358+00:00
Broadwell-EP,Intel,2016,BDX28,Performance Monitor Event DSB2MITE_SWITCHES.COUNT May Over Count,Debug / Trace / Telemetry,Unexpected Exception / Crash,Doc Waiver / No Fix,No Fix Planned,334165-007US,https://cdrdv2.intel.com/v1/dl/getContent/334165,aa5667e23db98656ec0c3b46be19f7db40a1ceb8bb8479c8dee605748397017d,2026-08-24T09:39:07.847358+00:00
Broadwell-EP,Intel,2016,BDX29,Timed MWAIT May Use Deadline of a Previous Execution,Debug / Trace / Telemetry,Unexpected Exception / Crash,Microcode Patch,No Fix Planned,334165-007US,https://cdrdv2.intel.com/v1/dl/getContent/334165,aa5667e23db98656ec0c3b46be19f7db40a1ceb8bb8479c8dee605748397017d,2026-08-24T09:39:07.847358+00:00
Broadwell-EP,Intel,2016,BDX30,IA32_VMX_VMCS_ENUM MSR (48AH) Does Not Properly Report The Highest Index Value Used For VMCS Encoding,Virtualization / MMU / IOMMU,Unexpected Exception / Crash,Doc Waiver / No Fix,No Fix Planned,334165-007US,https://cdrdv2.intel.com/v1/dl/getContent/334165,aa5667e23db98656ec0c3b46be19f7db40a1ceb8bb8479c8dee605748397017d,2026-08-24T09:39:07.847358+00:00
Broadwell-EP,Intel,2016,BDX31,Incorrect FROM_IP Value For an RTM Abort in BTM or BTS May Be Observed,Debug / Trace / Telemetry,Unexpected Exception / Crash,Doc Waiver / No Fix,No Fix Planned,334165-007US,https://cdrdv2.intel.com/v1/dl/getContent/334165,aa5667e23db98656ec0c3b46be19f7db40a1ceb8bb8479c8dee605748397017d,2026-08-24T09:39:07.847358+00:00
Broadwell-EP,Intel,2016,BDX32,Locked Load Performance Monitoring Events May Under Count,Debug / Trace / Telemetry,Unexpected Exception / Crash,Doc Waiver / No Fix,No Fix Planned,334165-007US,https://cdrdv2.intel.com/v1/dl/getContent/334165,aa5667e23db98656ec0c3b46be19f7db40a1ceb8bb8479c8dee605748397017d,2026-08-24T09:39:07.847358+00:00
Broadwell-EP,Intel,2016,BDX33,Transactional  Abort May Cause an Incorrect Branch Record,Debug / Trace / Telemetry,Unexpected Exception / Crash,Doc Waiver / No Fix,No Fix Planned,334165-007US,https://cdrdv2.intel.com/v1/dl/getContent/334165,aa5667e23db98656ec0c3b46be19f7db40a1ceb8bb8479c8dee605748397017d,2026-08-24T09:39:07.847358+00:00
Broadwell-EP,Intel,2016,BDX34,PMI May be Signaled More Than Once For Performance Monitor Counter Overflow,Debug / Trace / Telemetry,Unexpected Exception / Crash,Doc Waiver / No Fix,No Fix Planned,334165-007US,https://cdrdv2.intel.com/v1/dl/getContent/334165,aa5667e23db98656ec0c3b46be19f7db40a1ceb8bb8479c8dee605748397017d,2026-08-24T09:39:07.847358+00:00
Broadwell-EP,Intel,2016,BDX35,Execution of FXSAVE or FXRSTOR With the VEX Prefix May Produce a #NM Exception,Virtualization / MMU / IOMMU,Unexpected Exception / Crash,OS / Compiler Flag,No Fix Planned,334165-007US,https://cdrdv2.intel.com/v1/dl/getContent/334165,aa5667e23db98656ec0c3b46be19f7db40a1ceb8bb8479c8dee605748397017d,2026-08-24T09:39:07.847358+00:00
Broadwell-EP,Intel,2016,BDX36,VM Exit May Set IA32_EFER.NXE When IA32_MISC_ENABLE Bit 34 Is Set to 1,Virtualization / MMU / IOMMU,Unexpected Exception / Crash,Microcode Patch,No Fix Planned,334165-007US,https://cdrdv2.intel.com/v1/dl/getContent/334165,aa5667e23db98656ec0c3b46be19f7db40a1ceb8bb8479c8dee605748397017d,2026-08-24T09:39:07.847358+00:00
Broadwell-EP,Intel,2016,BDX37,A MOV to CR3 When EPT Is Enabled May Lead to an Unexpected Page Fault or an Incorrect Page Translation,Virtualization / MMU / IOMMU,Unexpected Exception / Crash,Microcode Patch,No Fix Planned,334165-007US,https://cdrdv2.intel.com/v1/dl/getContent/334165,aa5667e23db98656ec0c3b46be19f7db40a1ceb8bb8479c8dee605748397017d,2026-08-24T09:39:07.847358+00:00
Broadwell-EP,Intel,2016,BDX38,Intel ® Processor Trace (Intel® PT) Packet Generation May Stop Sooner Than Expected,Debug / Trace / Telemetry,Unexpected Exception / Crash,Doc Waiver / No Fix,No Fix Planned,334165-007US,https://cdrdv2.intel.com/v1/dl/getContent/334165,aa5667e23db98656ec0c3b46be19f7db40a1ceb8bb8479c8dee605748397017d,2026-08-24T09:39:07.847358+00:00
Broadwell-EP,Intel,2016,BDX39,PEBS Eventing IP Field May Be Incorrect After Not-Taken Branch,Debug / Trace / Telemetry,Unexpected Exception / Crash,Doc Waiver / No Fix,No Fix Planned,334165-007US,https://cdrdv2.intel.com/v1/dl/getContent/334165,aa5667e23db98656ec0c3b46be19f7db40a1ceb8bb8479c8dee605748397017d,2026-08-24T09:39:07.847358+00:00
Broadwell-EP,Intel,2016,BDX40,Reading The Memory Destination of an  Instruction That Begins an HLE Transaction May Return the Original Value,Execution Units / ALU,Unexpected Exception / Crash,Microcode Patch,No Fix Planned,334165-007US,https://cdrdv2.intel.com/v1/dl/getContent/334165,aa5667e23db98656ec0c3b46be19f7db40a1ceb8bb8479c8dee605748397017d,2026-08-24T09:39:07.847358+00:00
Broadwell-EP,Intel,2016,BDX41,Removed Due to Inapplicability,Memory Hierarchy,Unexpected Exception / Crash,Doc Waiver / No Fix,No Fix Planned,334165-007US,https://cdrdv2.intel.com/v1/dl/getContent/334165,aa5667e23db98656ec0c3b46be19f7db40a1ceb8bb8479c8dee605748397017d,2026-08-24T09:39:07.847358+00:00
Broadwell-EP,Intel,2016,BDX42,Performance Monitoring Event INSTR_RETIRED.ALL May Generate Redundant PEBS Records For an Overflow,Debug / Trace / Telemetry,Unexpected Exception / Crash,Doc Waiver / No Fix,No Fix Planned,334165-007US,https://cdrdv2.intel.com/v1/dl/getContent/334165,aa5667e23db98656ec0c3b46be19f7db40a1ceb8bb8479c8dee605748397017d,2026-08-24T09:39:07.847358+00:00
Broadwell-EP,Intel,2016,BDX43,Reset During PECI Transaction May Cause a Machine Check Exception,Virtualization / MMU / IOMMU,System Hang / Deadlock,Microcode Patch,No Fix Planned,334165-007US,https://cdrdv2.intel.com/v1/dl/getContent/334165,aa5667e23db98656ec0c3b46be19f7db40a1ceb8bb8479c8dee605748397017d,2026-08-24T09:39:07.847358+00:00
Broadwell-EP,Intel,2016,BDX44,"Intel ® PT MODE.Exec, PIP, and CBR Packets Are Not Generated as Expected",Branch Predictor / Decoder,Unexpected Exception / Crash,Doc Waiver / No Fix,No Fix Planned,334165-007US,https://cdrdv2.intel.com/v1/dl/getContent/334165,aa5667e23db98656ec0c3b46be19f7db40a1ceb8bb8479c8dee605748397017d,2026-08-24T09:39:07.847358+00:00
Broadwell-EP,Intel,2016,BDX45,Performance Monitor Instructions Retired Event May Not Count Consistently,Debug / Trace / Telemetry,Unexpected Exception / Crash,Doc Waiver / No Fix,No Fix Planned,334165-007US,https://cdrdv2.intel.com/v1/dl/getContent/334165,aa5667e23db98656ec0c3b46be19f7db40a1ceb8bb8479c8dee605748397017d,2026-08-24T09:39:07.847358+00:00
Broadwell-EP,Intel,2016,BDX46,General-Purpose Performance Counters May be Inaccurate with Any Thread,Debug / Trace / Telemetry,Unexpected Exception / Crash,Doc Waiver / No Fix,No Fix Planned,334165-007US,https://cdrdv2.intel.com/v1/dl/getContent/334165,aa5667e23db98656ec0c3b46be19f7db40a1ceb8bb8479c8dee605748397017d,2026-08-24T09:39:07.847358+00:00
Broadwell-EP,Intel,2016,BDX47,An Invalid LBR May Be Recorded Following a Transactional Abort,Debug / Trace / Telemetry,Unexpected Exception / Crash,Doc Waiver / No Fix,No Fix Planned,334165-007US,https://cdrdv2.intel.com/v1/dl/getContent/334165,aa5667e23db98656ec0c3b46be19f7db40a1ceb8bb8479c8dee605748397017d,2026-08-24T09:39:07.847358+00:00
Broadwell-EP,Intel,2016,BDX48,Executing an RSM Instruction With Intel ® PT Enabled Will Signal a #GP,Debug / Trace / Telemetry,Unexpected Exception / Crash,Doc Waiver / No Fix,No Fix Planned,334165-007US,https://cdrdv2.intel.com/v1/dl/getContent/334165,aa5667e23db98656ec0c3b46be19f7db40a1ceb8bb8479c8dee605748397017d,2026-08-24T09:39:07.847358+00:00
Broadwell-EP,Intel,2016,BDX49,Intel PT PIP May be Unexpectedly Generated,Virtualization / MMU / IOMMU,Security / Isolation Breach,Microcode Patch,No Fix Planned,334165-007US,https://cdrdv2.intel.com/v1/dl/getContent/334165,aa5667e23db98656ec0c3b46be19f7db40a1ceb8bb8479c8dee605748397017d,2026-08-24T09:39:07.847358+00:00
