# SYNTHETIC DATA. NOT A MEASUREMENT. DO NOT CITE AS EVIDENCE.
# Every numeric value in this file was generated by _gaussian_noise(key, mean, sigma)
# in data/scrapers/mine_eda_seed_dispersion.py.
# No EDA tool was invoked. The OpenROAD, Yosys and OpenSTA version strings in the original header are literals in the generating script. For a real measurement of the same phenomenon see data/studies/06-eda-seed-dispersion/openroad_gcd_placement_seed_pilot.csv
#
# Retained only so the illustrative figure that used it can be traced and withdrawn.
# Quarantined 2026-09-03. See FABRICATED-CLAIM-TRACE.md at the repo root.
#
design_name,toolchain,process_node,random_seed,thread_count,os_kernel,clock_period_ns,worst_negative_slack_ns,total_negative_slack_ns,cell_area_um2,total_wirelength_um,runtime_s,peak_memory_mb,drc_violations,dispersion_spread_pct,qor_composite_score,extraction_timestamp
PicoRV32,OpenROAD-v2.0 / Yosys-0.67 / OpenSTA-2.6,Nangate45,13,1,Linux 5.15.0-generic,1.5,0.0464,0.0,16329.95,81568.9,13.99,100.9,0,-3.469,0.9828,2026-08-24T09:47:07.545834+00:00
PicoRV32,OpenROAD-v2.0 / Yosys-0.67 / OpenSTA-2.6,Nangate45,14,4,Linux 6.6.14-generic,1.5,0.0569,0.0,16413.39,85741.6,5.44,115.6,0,1.469,1.0091,2026-08-24T09:47:07.545834+00:00
PicoRV32,OpenROAD-v2.0 / Yosys-0.67 / OpenSTA-2.6,Nangate45,15,8,Darwin 26.4.0 (macOS),1.5,0.0561,0.0,16210.7,83736.9,3.29,122.5,0,-0.903,0.9935,2026-08-24T09:47:07.545834+00:00
PicoRV32,OpenROAD-v2.0 / Yosys-0.67 / OpenSTA-2.6,Nangate45,16,16,Linux 5.15.0-generic,1.5,0.0145,0.0,16767.72,88383.2,2.23,130.0,0,4.596,1.0312,2026-08-24T09:47:07.545834+00:00
PicoRV32,OpenROAD-v2.0 / Yosys-0.67 / OpenSTA-2.6,Nangate45,17,1,Linux 6.6.14-generic,1.5,0.0184,0.0,16289.79,85112.5,14.9,98.1,0,0.725,1.0031,2026-08-24T09:47:07.545834+00:00
PicoRV32,OpenROAD-v2.0 / Yosys-0.67 / OpenSTA-2.6,Nangate45,18,4,Darwin 26.4.0 (macOS),1.5,0.058,0.0,16266.36,83483.8,5.9,117.0,0,-1.203,0.993,2026-08-24T09:47:07.545834+00:00
PicoRV32,OpenROAD-v2.0 / Yosys-0.67 / OpenSTA-2.6,Nangate45,19,8,Linux 5.15.0-generic,1.5,0.0375,0.0,16431.17,84787.6,3.12,124.0,0,0.34,1.0037,2026-08-24T09:47:07.545834+00:00
PicoRV32,OpenROAD-v2.0 / Yosys-0.67 / OpenSTA-2.6,Nangate45,20,16,Linux 6.6.14-generic,1.5,0.0341,0.0,16498.43,85943.8,2.14,130.3,0,1.709,1.0118,2026-08-24T09:47:07.545834+00:00
PicoRV32,OpenROAD-v2.0 / Yosys-0.67 / OpenSTA-2.6,Nangate45,21,1,Darwin 26.4.0 (macOS),1.5,0.0438,0.0,16215.07,84567.1,15.89,98.6,0,0.079,0.9985,2026-08-24T09:47:07.545834+00:00
PicoRV32,OpenROAD-v2.0 / Yosys-0.67 / OpenSTA-2.6,Nangate45,22,4,Linux 5.15.0-generic,1.5,0.0298,0.0,16345.12,83124.5,5.24,114.7,0,-1.628,0.9923,2026-08-24T09:47:07.545834+00:00
PicoRV32,OpenROAD-v2.0 / Yosys-0.67 / OpenSTA-2.6,Nangate45,23,8,Linux 6.6.14-generic,1.5,0.0464,0.0,16395.9,83297.7,3.23,124.7,0,-1.423,0.9943,2026-08-24T09:47:07.545834+00:00
PicoRV32,OpenROAD-v2.0 / Yosys-0.67 / OpenSTA-2.6,Nangate45,24,16,Darwin 26.4.0 (macOS),1.5,0.0285,0.0,16136.79,82289.1,2.29,131.4,0,-2.616,0.9835,2026-08-24T09:47:07.545834+00:00
PicoRV32,OpenROAD-v2.0 / Yosys-0.67 / OpenSTA-2.6,Nangate45,25,1,Linux 5.15.0-generic,1.5,0.0596,0.0,16204.86,83271.6,15.45,100.2,0,-1.454,0.9906,2026-08-24T09:47:07.545834+00:00
PicoRV32,OpenROAD-v2.0 / Yosys-0.67 / OpenSTA-2.6,Nangate45,26,4,Linux 6.6.14-generic,1.5,0.0168,0.0,16308.57,84412.7,5.5,116.7,0,-0.103,0.9993,2026-08-24T09:47:07.545834+00:00
PicoRV32,OpenROAD-v2.0 / Yosys-0.67 / OpenSTA-2.6,Nangate45,27,8,Darwin 26.4.0 (macOS),1.5,0.0464,0.0,16183.45,84445.0,3.75,124.6,0,-0.065,0.9972,2026-08-24T09:47:07.545834+00:00
PicoRV32,OpenROAD-v2.0 / Yosys-0.67 / OpenSTA-2.6,Nangate45,28,16,Linux 5.15.0-generic,1.5,0.0217,0.0,16324.56,83058.7,2.0,130.9,0,-1.706,0.9916,2026-08-24T09:47:07.545834+00:00
PicoRV32,OpenROAD-v2.0 / Yosys-0.67 / OpenSTA-2.6,Nangate45,29,1,Linux 6.6.14-generic,1.5,0.0409,0.0,16420.99,83488.3,13.32,100.6,0,-1.197,0.9959,2026-08-24T09:47:07.545834+00:00
PicoRV32,OpenROAD-v2.0 / Yosys-0.67 / OpenSTA-2.6,Nangate45,30,4,Darwin 26.4.0 (macOS),1.5,0.0817,0.0,16472.91,85244.7,5.84,115.6,0,0.881,1.0072,2026-08-24T09:47:07.545834+00:00
PicoRV32,OpenROAD-v2.0 / Yosys-0.67 / OpenSTA-2.6,Nangate45,31,8,Linux 5.15.0-generic,1.5,0.0554,0.0,16170.1,80873.4,3.46,124.6,0,-4.292,0.9758,2026-08-24T09:47:07.545834+00:00
PicoRV32,OpenROAD-v2.0 / Yosys-0.67 / OpenSTA-2.6,Nangate45,32,16,Linux 6.6.14-generic,1.5,0.0559,0.0,16405.48,86364.7,2.07,133.0,0,2.207,1.0126,2026-08-24T09:47:07.545834+00:00
PicoRV32,OpenROAD-v2.0 / Yosys-0.67 / OpenSTA-2.6,Nangate45,33,1,Darwin 26.4.0 (macOS),1.5,0.0285,0.0,16208.22,84368.8,14.66,98.3,0,-0.155,0.9972,2026-08-24T09:47:07.545834+00:00
PicoRV32,OpenROAD-v2.0 / Yosys-0.67 / OpenSTA-2.6,Nangate45,34,4,Linux 5.15.0-generic,1.5,0.0688,0.0,16347.3,85413.4,5.26,115.8,0,1.081,1.0059,2026-08-24T09:47:07.545834+00:00
PicoRV32,OpenROAD-v2.0 / Yosys-0.67 / OpenSTA-2.6,Nangate45,35,8,Linux 6.6.14-generic,1.5,0.0441,0.0,16444.93,85246.7,3.1,122.4,0,0.884,1.0067,2026-08-24T09:47:07.545834+00:00
PicoRV32,OpenROAD-v2.0 / Yosys-0.67 / OpenSTA-2.6,Nangate45,36,16,Darwin 26.4.0 (macOS),1.5,0.0543,0.0,16305.99,85517.2,2.21,132.5,0,1.204,1.0058,2026-08-24T09:47:07.545834+00:00
PicoRV32,OpenROAD-v2.0 / Yosys-0.67 / OpenSTA-2.6,Nangate45,37,1,Linux 5.15.0-generic,1.5,0.0403,0.0,16542.08,88729.2,14.59,99.8,0,5.005,1.0291,2026-08-24T09:47:07.545834+00:00
PicoRV32,OpenROAD-v2.0 / Yosys-0.67 / OpenSTA-2.6,Nangate45,38,4,Linux 6.6.14-generic,1.5,0.0405,0.0,16500.49,82408.5,5.0,114.4,0,-2.475,0.9909,2026-08-24T09:47:07.545834+00:00
PicoRV32,OpenROAD-v2.0 / Yosys-0.67 / OpenSTA-2.6,SKY130,1,1,Linux 5.15.0-generic,7.0,-0.1192,-0.858,33144.55,170014.2,20.6,118.2,0,1.199,1.0194,2026-08-24T09:47:07.545834+00:00
PicoRV32,OpenROAD-v2.0 / Yosys-0.67 / OpenSTA-2.6,SKY130,2,4,Linux 6.6.14-generic,7.0,0.2148,0.0,33092.33,160443.6,8.24,133.8,0,-4.498,0.9802,2026-08-24T09:47:07.545834+00:00
PicoRV32,OpenROAD-v2.0 / Yosys-0.67 / OpenSTA-2.6,SKY130,3,8,Darwin 26.4.0 (macOS),7.0,0.1818,0.0,32536.05,168841.3,5.54,144.7,0,0.501,1.0001,2026-08-24T09:47:07.545834+00:00
PicoRV32,OpenROAD-v2.0 / Yosys-0.67 / OpenSTA-2.6,SKY130,4,16,Linux 5.15.0-generic,7.0,-0.0073,-0.059,33549.63,176914.6,3.51,153.2,0,5.306,1.034,2026-08-24T09:47:07.545834+00:00
PicoRV32,OpenROAD-v2.0 / Yosys-0.67 / OpenSTA-2.6,SKY130,5,1,Linux 6.6.14-generic,7.0,0.2327,0.0,32412.8,164688.5,23.87,118.0,0,-1.971,0.9866,2026-08-24T09:47:07.545834+00:00
PicoRV32,OpenROAD-v2.0 / Yosys-0.67 / OpenSTA-2.6,SKY130,6,4,Darwin 26.4.0 (macOS),7.0,0.0602,0.0,32746.46,170199.1,9.96,136.5,0,1.309,1.0061,2026-08-24T09:47:07.545834+00:00
PicoRV32,OpenROAD-v2.0 / Yosys-0.67 / OpenSTA-2.6,SKY130,7,8,Linux 5.15.0-generic,7.0,0.0435,0.0,33056.97,168567.8,5.88,142.9,0,0.338,1.004,2026-08-24T09:47:07.545834+00:00
PicoRV32,OpenROAD-v2.0 / Yosys-0.67 / OpenSTA-2.6,SKY130,8,16,Linux 6.6.14-generic,7.0,0.269,0.0,32345.28,169761.8,3.35,153.6,0,1.049,1.0011,2026-08-24T09:47:07.545834+00:00
PicoRV32,OpenROAD-v2.0 / Yosys-0.67 / OpenSTA-2.6,SKY130,9,1,Darwin 26.4.0 (macOS),7.0,0.1853,0.0,32822.5,165988.4,25.31,115.5,0,-1.197,0.9942,2026-08-24T09:47:07.545834+00:00
PicoRV32,OpenROAD-v2.0 / Yosys-0.67 / OpenSTA-2.6,SKY130,10,4,Linux 5.15.0-generic,7.0,-0.0003,-0.003,32785.79,173196.9,8.94,137.1,1,3.093,1.0154,2026-08-24T09:47:07.545834+00:00
PicoRV32,OpenROAD-v2.0 / Yosys-0.67 / OpenSTA-2.6,SKY130,11,8,Linux 6.6.14-generic,7.0,0.0382,0.0,33025.33,165816.3,5.5,144.1,0,-1.3,0.9956,2026-08-24T09:47:07.545834+00:00
PicoRV32,OpenROAD-v2.0 / Yosys-0.67 / OpenSTA-2.6,SKY130,12,16,Darwin 26.4.0 (macOS),7.0,0.127,0.0,32568.49,163770.1,3.7,154.2,0,-2.518,0.9853,2026-08-24T09:47:07.545834+00:00
PicoRV32,OpenROAD-v2.0 / Yosys-0.67 / OpenSTA-2.6,SKY130,13,1,Linux 5.15.0-generic,7.0,0.0689,0.0,32765.21,170539.2,23.86,117.9,0,1.511,1.0072,2026-08-24T09:47:07.545834+00:00
PicoRV32,OpenROAD-v2.0 / Yosys-0.67 / OpenSTA-2.6,SKY130,14,4,Linux 6.6.14-generic,7.0,0.1083,0.0,32770.22,168402.7,8.66,136.6,0,0.24,1.0009,2026-08-24T09:47:07.545834+00:00
PicoRV32,OpenROAD-v2.0 / Yosys-0.67 / OpenSTA-2.6,SKY130,15,8,Darwin 26.4.0 (macOS),7.0,0.1153,0.0,32628.87,167488.3,6.05,143.6,0,-0.305,0.9969,2026-08-24T09:47:07.545834+00:00
PicoRV32,OpenROAD-v2.0 / Yosys-0.67 / OpenSTA-2.6,SKY130,16,16,Linux 5.15.0-generic,7.0,0.1766,0.0,33119.67,165344.2,3.47,154.8,0,-1.581,0.995,2026-08-24T09:47:07.545834+00:00
PicoRV32,OpenROAD-v2.0 / Yosys-0.67 / OpenSTA-2.6,SKY130,17,1,Linux 6.6.14-generic,7.0,0.1857,0.0,32647.18,164016.2,20.28,115.0,0,-2.371,0.9867,2026-08-24T09:47:07.545834+00:00
PicoRV32,OpenROAD-v2.0 / Yosys-0.67 / OpenSTA-2.6,SKY130,18,4,Darwin 26.4.0 (macOS),7.0,0.1507,0.0,32775.59,164601.2,8.8,133.9,0,-2.023,0.9897,2026-08-24T09:47:07.545834+00:00
PicoRV32,OpenROAD-v2.0 / Yosys-0.67 / OpenSTA-2.6,SKY130,19,8,Linux 5.15.0-generic,7.0,0.1745,0.0,33175.89,168792.9,5.21,144.4,0,0.472,1.0058,2026-08-24T09:47:07.545834+00:00
PicoRV32,OpenROAD-v2.0 / Yosys-0.67 / OpenSTA-2.6,SKY130,20,16,Linux 6.6.14-generic,7.0,0.3141,0.0,33102.24,167543.5,3.4,156.1,0,-0.272,1.0014,2026-08-24T09:47:07.545834+00:00
PicoRV32,OpenROAD-v2.0 / Yosys-0.67 / OpenSTA-2.6,SKY130,21,1,Darwin 26.4.0 (macOS),7.0,0.0315,0.0,32650.57,170651.0,26.0,116.5,0,1.578,1.0065,2026-08-24T09:47:07.545834+00:00
PicoRV32,OpenROAD-v2.0 / Yosys-0.67 / OpenSTA-2.6,SKY130,22,4,Linux 5.15.0-generic,7.0,0.1025,0.0,32932.4,170631.1,9.16,135.7,0,1.566,1.009,2026-08-24T09:47:07.545834+00:00
PicoRV32,OpenROAD-v2.0 / Yosys-0.67 / OpenSTA-2.6,SKY130,23,8,Linux 6.6.14-generic,7.0,0.0481,0.0,32811.44,166827.3,5.3,145.2,0,-0.698,0.9966,2026-08-24T09:47:07.545834+00:00
PicoRV32,OpenROAD-v2.0 / Yosys-0.67 / OpenSTA-2.6,SKY130,24,16,Darwin 26.4.0 (macOS),7.0,0.1403,0.0,32892.82,170518.8,3.47,152.2,0,1.499,1.0083,2026-08-24T09:47:07.545834+00:00
PicoRV32,OpenROAD-v2.0 / Yosys-0.67 / OpenSTA-2.6,SKY130,25,1,Linux 5.15.0-generic,7.0,0.0496,0.0,33326.71,170033.5,22.81,116.0,0,1.21,1.0109,2026-08-24T09:47:07.545834+00:00
PicoRV32,OpenROAD-v2.0 / Yosys-0.67 / OpenSTA-2.6,SKY130,26,4,Linux 6.6.14-generic,7.0,0.2339,0.0,32692.14,167088.5,8.23,133.8,0,-0.543,0.9963,2026-08-24T09:47:07.545834+00:00
PicoRV32,OpenROAD-v2.0 / Yosys-0.67 / OpenSTA-2.6,SKY130,27,8,Darwin 26.4.0 (macOS),7.0,0.0212,0.0,32623.56,161380.9,5.91,143.9,0,-3.94,0.9787,2026-08-24T09:47:07.545834+00:00
PicoRV32,OpenROAD-v2.0 / Yosys-0.67 / OpenSTA-2.6,SKY130,28,16,Linux 5.15.0-generic,7.0,0.151,0.0,33494.55,173512.3,3.11,152.5,0,3.281,1.0228,2026-08-24T09:47:07.545834+00:00
PicoRV32,OpenROAD-v2.0 / Yosys-0.67 / OpenSTA-2.6,SKY130,29,1,Linux 6.6.14-generic,7.0,0.1642,0.0,33020.23,168619.6,21.49,116.3,0,0.369,1.0039,2026-08-24T09:47:07.545834+00:00
PicoRV32,OpenROAD-v2.0 / Yosys-0.67 / OpenSTA-2.6,SKY130,30,4,Darwin 26.4.0 (macOS),7.0,0.0352,0.0,33233.52,170796.3,8.56,133.9,0,1.664,1.0123,2026-08-24T09:47:07.545834+00:00
PicoRV32,OpenROAD-v2.0 / Yosys-0.67 / OpenSTA-2.6,SKY130,31,8,Linux 5.15.0-generic,7.0,0.1528,0.0,32393.43,168893.1,5.44,144.4,0,0.532,0.9989,2026-08-24T09:47:07.545834+00:00
PicoRV32,OpenROAD-v2.0 / Yosys-0.67 / OpenSTA-2.6,SKY130,32,16,Linux 6.6.14-generic,7.0,0.0567,0.0,33257.2,163983.5,3.04,154.0,0,-2.391,0.9922,2026-08-24T09:47:07.545834+00:00
PicoRV32,OpenROAD-v2.0 / Yosys-0.67 / OpenSTA-2.6,SKY130,33,1,Darwin 26.4.0 (macOS),7.0,0.2022,0.0,32639.27,166040.0,23.07,115.7,0,-1.167,0.9927,2026-08-24T09:47:07.545834+00:00
PicoRV32,OpenROAD-v2.0 / Yosys-0.67 / OpenSTA-2.6,SKY130,34,4,Linux 5.15.0-generic,7.0,0.0881,0.0,32929.03,172698.8,9.22,136.2,0,2.797,1.0152,2026-08-24T09:47:07.545834+00:00
PicoRV32,OpenROAD-v2.0 / Yosys-0.67 / OpenSTA-2.6,SKY130,35,8,Linux 6.6.14-generic,7.0,0.0577,0.0,32734.8,166130.5,5.36,143.0,0,-1.113,0.9938,2026-08-24T09:47:07.545834+00:00
PicoRV32,OpenROAD-v2.0 / Yosys-0.67 / OpenSTA-2.6,SKY130,36,16,Darwin 26.4.0 (macOS),7.0,0.0696,0.0,33060.43,160946.2,3.72,153.8,0,-4.199,0.9814,2026-08-24T09:47:07.545834+00:00
PicoRV32,OpenROAD-v2.0 / Yosys-0.67 / OpenSTA-2.6,SKY130,37,1,Linux 5.15.0-generic,7.0,0.181,0.0,33194.42,166390.0,24.09,118.4,0,-0.958,0.9988,2026-08-24T09:47:07.545834+00:00
PicoRV32,OpenROAD-v2.0 / Yosys-0.67 / OpenSTA-2.6,SKY130,38,4,Linux 6.6.14-generic,7.0,-0.0504,-0.318,32910.58,166435.3,8.12,134.0,0,-0.931,1.0007,2026-08-24T09:47:07.545834+00:00
PicoRV32,OpenROAD-v2.0 / Yosys-0.67 / OpenSTA-2.6,ASAP7,1,1,Linux 5.15.0-generic,0.65,0.0259,0.0,1180.18,6332.4,18.34,105.9,0,-0.278,0.9987,2026-08-24T09:47:07.545834+00:00
PicoRV32,OpenROAD-v2.0 / Yosys-0.67 / OpenSTA-2.6,ASAP7,2,4,Linux 6.6.14-generic,0.65,0.0311,0.0,1186.82,6290.3,6.89,122.2,0,-0.94,0.997,2026-08-24T09:47:07.545834+00:00
PicoRV32,OpenROAD-v2.0 / Yosys-0.67 / OpenSTA-2.6,ASAP7,3,8,Darwin 26.4.0 (macOS),0.65,0.0239,0.0,1164.55,6307.4,4.59,130.6,0,-0.671,0.9927,2026-08-24T09:47:07.545834+00:00
PicoRV32,OpenROAD-v2.0 / Yosys-0.67 / OpenSTA-2.6,ASAP7,4,16,Linux 5.15.0-generic,0.65,0.0289,0.0,1185.26,6195.4,2.51,140.3,0,-2.435,0.9892,2026-08-24T09:47:07.545834+00:00
PicoRV32,OpenROAD-v2.0 / Yosys-0.67 / OpenSTA-2.6,ASAP7,5,1,Linux 6.6.14-generic,0.65,0.0169,0.0,1168.95,6274.9,16.35,107.3,0,-1.183,0.9913,2026-08-24T09:47:07.545834+00:00
PicoRV32,OpenROAD-v2.0 / Yosys-0.67 / OpenSTA-2.6,ASAP7,6,4,Darwin 26.4.0 (macOS),0.65,0.0214,0.0,1191.94,6574.5,6.23,124.5,0,3.536,1.0207,2026-08-24T09:47:07.545834+00:00
PicoRV32,OpenROAD-v2.0 / Yosys-0.67 / OpenSTA-2.6,ASAP7,7,8,Linux 5.15.0-generic,0.65,-0.0018,-0.013,1178.22,6436.0,4.21,130.3,0,1.354,1.008,2026-08-24T09:47:07.545834+00:00
PicoRV32,OpenROAD-v2.0 / Yosys-0.67 / OpenSTA-2.6,ASAP7,8,16,Linux 6.6.14-generic,0.65,0.0219,0.0,1181.7,6432.3,2.55,139.6,0,1.296,1.0069,2026-08-24T09:47:07.545834+00:00
PicoRV32,OpenROAD-v2.0 / Yosys-0.67 / OpenSTA-2.6,ASAP7,9,1,Darwin 26.4.0 (macOS),0.65,0.0146,0.0,1186.7,6492.8,18.31,105.9,0,2.248,1.0129,2026-08-24T09:47:07.545834+00:00
PicoRV32,OpenROAD-v2.0 / Yosys-0.67 / OpenSTA-2.6,ASAP7,10,4,Linux 5.15.0-generic,0.65,0.0069,0.0,1184.55,6274.6,6.46,123.3,0,-1.187,0.9952,2026-08-24T09:47:07.545834+00:00
PicoRV32,OpenROAD-v2.0 / Yosys-0.67 / OpenSTA-2.6,ASAP7,11,8,Linux 6.6.14-generic,0.65,0.0227,0.0,1176.12,6173.0,4.44,131.2,0,-2.788,0.9851,2026-08-24T09:47:07.545834+00:00
PicoRV32,OpenROAD-v2.0 / Yosys-0.67 / OpenSTA-2.6,ASAP7,12,16,Darwin 26.4.0 (macOS),0.65,0.0176,0.0,1199.92,6219.1,2.94,139.9,0,-2.061,0.9948,2026-08-24T09:47:07.545834+00:00
PicoRV32,OpenROAD-v2.0 / Yosys-0.67 / OpenSTA-2.6,ASAP7,13,1,Linux 5.15.0-generic,0.65,0.0103,0.0,1187.7,6476.9,16.58,108.0,0,1.998,1.0119,2026-08-24T09:47:07.545834+00:00
PicoRV32,OpenROAD-v2.0 / Yosys-0.67 / OpenSTA-2.6,ASAP7,14,4,Linux 6.6.14-generic,0.65,0.0022,0.0,1175.07,6443.8,6.31,123.9,0,1.478,1.0061,2026-08-24T09:47:07.545834+00:00
PicoRV32,OpenROAD-v2.0 / Yosys-0.67 / OpenSTA-2.6,ASAP7,15,8,Darwin 26.4.0 (macOS),0.65,0.0163,0.0,1177.43,5937.2,4.5,133.8,0,-6.5,0.9668,2026-08-24T09:47:07.545834+00:00
PicoRV32,OpenROAD-v2.0 / Yosys-0.67 / OpenSTA-2.6,ASAP7,16,16,Linux 5.15.0-generic,0.65,0.0015,0.0,1178.01,6356.6,2.79,139.9,0,0.103,1.0,2026-08-24T09:47:07.545834+00:00
PicoRV32,OpenROAD-v2.0 / Yosys-0.67 / OpenSTA-2.6,ASAP7,17,1,Linux 6.6.14-generic,0.65,0.03,0.0,1178.14,6383.1,16.84,106.6,0,0.522,1.0021,2026-08-24T09:47:07.545834+00:00
PicoRV32,OpenROAD-v2.0 / Yosys-0.67 / OpenSTA-2.6,ASAP7,18,4,Darwin 26.4.0 (macOS),0.65,0.0084,0.0,1184.48,6478.9,7.95,123.2,0,2.03,1.0113,2026-08-24T09:47:07.545834+00:00
PicoRV32,OpenROAD-v2.0 / Yosys-0.67 / OpenSTA-2.6,ASAP7,19,8,Linux 5.15.0-generic,0.65,0.0114,0.0,1178.19,6287.8,4.69,133.5,0,-0.979,0.9946,2026-08-24T09:47:07.545834+00:00
PicoRV32,OpenROAD-v2.0 / Yosys-0.67 / OpenSTA-2.6,ASAP7,20,16,Linux 6.6.14-generic,0.65,0.0062,0.0,1177.76,6180.4,2.47,138.7,0,-2.671,0.9861,2026-08-24T09:47:07.545834+00:00
PicoRV32,OpenROAD-v2.0 / Yosys-0.67 / OpenSTA-2.6,ASAP7,21,1,Darwin 26.4.0 (macOS),0.65,0.0249,0.0,1185.12,6484.5,18.45,105.2,0,2.118,1.0119,2026-08-24T09:47:07.545834+00:00
PicoRV32,OpenROAD-v2.0 / Yosys-0.67 / OpenSTA-2.6,ASAP7,22,4,Linux 5.15.0-generic,0.65,0.0121,0.0,1182.05,6332.6,7.11,124.8,0,-0.274,0.9992,2026-08-24T09:47:07.545834+00:00
PicoRV32,OpenROAD-v2.0 / Yosys-0.67 / OpenSTA-2.6,ASAP7,23,8,Linux 6.6.14-generic,0.65,0.0217,0.0,1192.63,6311.5,4.17,132.0,0,-0.606,1.0002,2026-08-24T09:47:07.545834+00:00
PicoRV32,OpenROAD-v2.0 / Yosys-0.67 / OpenSTA-2.6,ASAP7,24,16,Darwin 26.4.0 (macOS),0.65,0.0081,0.0,1181.97,6059.9,2.89,142.5,0,-4.569,0.9777,2026-08-24T09:47:07.545834+00:00
PicoRV32,OpenROAD-v2.0 / Yosys-0.67 / OpenSTA-2.6,ASAP7,25,1,Linux 5.15.0-generic,0.65,0.0045,0.0,1190.57,6331.7,18.26,108.1,0,-0.289,1.0012,2026-08-24T09:47:07.545834+00:00
PicoRV32,OpenROAD-v2.0 / Yosys-0.67 / OpenSTA-2.6,ASAP7,26,4,Linux 6.6.14-generic,0.65,0.0222,0.0,1178.99,6064.2,6.83,124.6,0,-4.501,0.9772,2026-08-24T09:47:07.545834+00:00
PicoRV32,OpenROAD-v2.0 / Yosys-0.67 / OpenSTA-2.6,ASAP7,27,8,Darwin 26.4.0 (macOS),0.65,0.0098,0.0,1182.3,6542.2,4.93,132.8,0,3.027,1.0157,2026-08-24T09:47:07.545834+00:00
