corpus_category,dataset_name,repository_url,repository_commit,source_path,source_sha256,module_name,clean_loc,concrete_syntax_nodes,concrete_syntax_depth,syntax_diagnostic_count,syntax_diagnostic_codes,syntax_tree_valid,event_control_signal_count,clock_like_event_signal_count,clock_like_event_signals,recognized_cdc_primitive_mentions,hierarchy_instantiation_count,resolved_internal_submodule_instantiations,ambiguous_internal_submodule_instantiations,internal_hierarchy_depth,extraction_timestamp
AI benchmark reference RTL,RTLLM,https://github.com/hkust-zhiyao/RTLLM,51ed553d0ffd32797a1a0a13e051656bf302c81f,Arithmetic/Adder/adder_32bit/verified_adder_32bit.v,a5529a8fe85748de646ebf34da72cd9fdc5457f706101b3c77fd7f17ef26d57a,verified_adder_32bit,26,335,9,1,DiagCode(NewlineEOF),1,0,0,,0,2,2,0,4,2026-08-25T21:44:32.712049+00:00
AI benchmark reference RTL,RTLLM,https://github.com/hkust-zhiyao/RTLLM,51ed553d0ffd32797a1a0a13e051656bf302c81f,Arithmetic/Adder/adder_8bit/verified_adder_8bit.v,ec6f653763cb7ccd07afa7223f4b66d5f9c37f307eb4cb1606fdfa556a7f444f,full_adder,3,68,5,1,DiagCode(NewlineEOF),1,0,0,,0,0,0,0,1,2026-08-25T21:44:32.712049+00:00
AI benchmark reference RTL,RTLLM,https://github.com/hkust-zhiyao/RTLLM,51ed553d0ffd32797a1a0a13e051656bf302c81f,Arithmetic/Adder/adder_8bit/verified_adder_8bit.v,ec6f653763cb7ccd07afa7223f4b66d5f9c37f307eb4cb1606fdfa556a7f444f,verified_adder_8bit,16,789,9,1,DiagCode(NewlineEOF),1,0,0,,0,8,8,0,2,2026-08-25T21:44:32.712049+00:00
AI benchmark reference RTL,RTLLM,https://github.com/hkust-zhiyao/RTLLM,51ed553d0ffd32797a1a0a13e051656bf302c81f,Arithmetic/Adder/adder_bcd/verified_adder_bcd.v,7bc3695726c0dc21f88fb6752e092dfb781eee82974af1e1f5e371986fd8c779,adder_bcd,16,222,9,0,,1,0,0,,0,0,0,0,1,2026-08-25T21:44:32.712049+00:00
AI benchmark reference RTL,RTLLM,https://github.com/hkust-zhiyao/RTLLM,51ed553d0ffd32797a1a0a13e051656bf302c81f,Arithmetic/Adder/adder_pipe_64bit/verified_adder_64bit.v,78ddd3f77dac5c273a906698773f19087d4a915c0a003857137188da4c26b8cb,verified_adder_64bit,175,1928,12,1,DiagCode(NewlineEOF),1,1,1,clk,0,0,0,0,1,2026-08-25T21:44:32.712049+00:00
AI benchmark reference RTL,RTLLM,https://github.com/hkust-zhiyao/RTLLM,51ed553d0ffd32797a1a0a13e051656bf302c81f,Arithmetic/Comparator/comparator_3bit/verified_comparator_3bit.v,7f331b457a27a90ef781081ca3338218acbb8f640890f4a1676f9f8e21307407,comparator_3bit,11,155,9,1,DiagCode(NewlineEOF),1,0,0,,0,0,0,0,1,2026-08-25T21:44:32.712049+00:00
AI benchmark reference RTL,RTLLM,https://github.com/hkust-zhiyao/RTLLM,51ed553d0ffd32797a1a0a13e051656bf302c81f,Arithmetic/Comparator/comparator_4bit/verified_comparator_4bit.v,abb2225be214b06f6c295b7ca88eb7893d468f0581cda978422792f5780dcefe,comparator_4bit,14,160,9,0,,1,0,0,,0,0,0,0,1,2026-08-25T21:44:32.712049+00:00
AI benchmark reference RTL,RTLLM,https://github.com/hkust-zhiyao/RTLLM,51ed553d0ffd32797a1a0a13e051656bf302c81f,Arithmetic/Divider/div_16bit/verified_div_16bit.v,89625978c731ef4c91640ee144e5caca17ffdfeca855e3b32168d64cf5ea8837,verified_div_16bit,33,350,13,1,DiagCode(NewlineEOF),1,0,0,,0,0,0,0,1,2026-08-25T21:44:32.712049+00:00
AI benchmark reference RTL,RTLLM,https://github.com/hkust-zhiyao/RTLLM,51ed553d0ffd32797a1a0a13e051656bf302c81f,Arithmetic/Divider/radix2_div/verified_radix2_div.v,9d2d1bb5901e121303328cc8a9faa23190f3d999192b040d71c97716fd78ca1c,radix2_div,68,984,19,0,,1,1,1,clk,0,0,0,0,1,2026-08-25T21:44:32.712049+00:00
AI benchmark reference RTL,RTLLM,https://github.com/hkust-zhiyao/RTLLM,51ed553d0ffd32797a1a0a13e051656bf302c81f,Arithmetic/Multiplier/multi_16bit/verified_multi_16bit.v,e8f856d7b09ef1cbf301ae699b13954c1638ac8f57a53ffbd7783155e2d54ea9,verified_multi_16bit,42,557,20,1,DiagCode(NewlineEOF),1,1,1,clk,0,0,0,0,1,2026-08-25T21:44:32.712049+00:00
AI benchmark reference RTL,RTLLM,https://github.com/hkust-zhiyao/RTLLM,51ed553d0ffd32797a1a0a13e051656bf302c81f,Arithmetic/Multiplier/multi_8bit/verified_multi_8bit.v,2dbbc317ac7f55a4be3b4a763df9226969ec98bc05c7162c16b206a3b563321b,multi_8bit,19,215,13,1,DiagCode(NewlineEOF),1,0,0,,0,0,0,0,1,2026-08-25T21:44:32.712049+00:00
AI benchmark reference RTL,RTLLM,https://github.com/hkust-zhiyao/RTLLM,51ed553d0ffd32797a1a0a13e051656bf302c81f,Arithmetic/Multiplier/multi_booth_8bit/verified_booth4_mul.v,ebdfb95c5ac427b8b5e202732491072bddb6f3523f4f55d3ce7e2b9ddf229777,verified_multi_booth_8bit,37,362,16,1,DiagCode(NewlineEOF),1,1,1,clk,0,0,0,0,1,2026-08-25T21:44:32.712049+00:00
AI benchmark reference RTL,RTLLM,https://github.com/hkust-zhiyao/RTLLM,51ed553d0ffd32797a1a0a13e051656bf302c81f,Arithmetic/Multiplier/multi_pipe_4bit/verified_multi_pipe_4bit.v,0d8037af028cf6186de5f19a962883b1d061e4583cb85ea5aa97d53d6513372d,verified_multi_pipe,42,531,13,0,,1,1,1,clk,0,0,0,0,1,2026-08-25T21:44:32.712049+00:00
AI benchmark reference RTL,RTLLM,https://github.com/hkust-zhiyao/RTLLM,51ed553d0ffd32797a1a0a13e051656bf302c81f,Arithmetic/Multiplier/multi_pipe_8bit/verified_multi_pipe_8bit.v,c7b1f309806650b74c998ff3a1c4ae6afd60ebb66f746134aca0bc8ea5928192,verified_multi_pipe_8bit,76,1172,13,1,DiagCode(NewlineEOF),1,1,1,clk,0,0,0,0,1,2026-08-25T21:44:32.712049+00:00
AI benchmark reference RTL,RTLLM,https://github.com/hkust-zhiyao/RTLLM,51ed553d0ffd32797a1a0a13e051656bf302c81f,Arithmetic/Other/fixed_point_adder/verified_fixed_point_adder.v,f7f37c20ccf3786d6a9629d5546b7dda16e9daf4f7ebf01e79f90cc51b4f00ee,fixed_point_adder,44,769,19,1,DiagCode(NewlineEOF),1,0,0,,0,0,0,0,1,2026-08-25T21:44:32.712049+00:00
AI benchmark reference RTL,RTLLM,https://github.com/hkust-zhiyao/RTLLM,51ed553d0ffd32797a1a0a13e051656bf302c81f,Arithmetic/Other/fixed_point_substractor/verified_fixed_point_substractor.v,ec8a083638dbd36009fa8dea9ebcfc6e080c8bd781905576a597edb70857c7ca,fixed_point_subtractor,44,769,19,1,DiagCode(NewlineEOF),1,0,0,,0,0,0,0,1,2026-08-25T21:44:32.712049+00:00
AI benchmark reference RTL,RTLLM,https://github.com/hkust-zhiyao/RTLLM,51ed553d0ffd32797a1a0a13e051656bf302c81f,Arithmetic/Other/float_multi/verified_float_multi.v,b22bf486597af9c3fdc3f8913a3fff291482a9387eff57f64644fa0a65e6c6c3,float_multi,143,1953,26,1,DiagCode(NewlineEOF),1,1,1,clk,0,0,0,0,1,2026-08-25T21:44:32.712049+00:00
AI benchmark reference RTL,RTLLM,https://github.com/hkust-zhiyao/RTLLM,51ed553d0ffd32797a1a0a13e051656bf302c81f,Arithmetic/Substractor/sub_64bit/verified_sub_64bit.v,93caba743a1839915ef7a306bfee4a8b48a564753d63c2141196dcecf43daf7c,sub_64bit,15,167,13,1,DiagCode(NewlineEOF),1,0,0,,0,0,0,0,1,2026-08-25T21:44:32.712049+00:00
AI benchmark reference RTL,RTLLM,https://github.com/hkust-zhiyao/RTLLM,51ed553d0ffd32797a1a0a13e051656bf302c81f,Control/Counter/JC_counter/verified_JC_counter.v,063822c3c64f8e0e0cf66dc1e1e06edfd48571e01dc73b728ac2aed225c4b48b,verified_JC_counter,11,152,14,0,,1,1,1,clk,0,0,0,0,1,2026-08-25T21:44:32.712049+00:00
AI benchmark reference RTL,RTLLM,https://github.com/hkust-zhiyao/RTLLM,51ed553d0ffd32797a1a0a13e051656bf302c81f,Control/Counter/counter_12/verified_counter_12.v,e3551f7d82fa522f9e9afe01a2c4ff35bd61143d395f490e17d340cb16a6ae04,verified_counter_12,27,164,14,0,,1,1,1,clk,0,0,0,0,1,2026-08-25T21:44:32.712049+00:00
AI benchmark reference RTL,RTLLM,https://github.com/hkust-zhiyao/RTLLM,51ed553d0ffd32797a1a0a13e051656bf302c81f,Control/Counter/ring_counter/verified_ring_counter.v,7697be7e93b8d745acfb86073a28a495b9876b6fb25c673fae427238fb5de62a,ring_counter,15,139,12,0,,1,1,1,clk,0,0,0,0,1,2026-08-25T21:44:32.712049+00:00
AI benchmark reference RTL,RTLLM,https://github.com/hkust-zhiyao/RTLLM,51ed553d0ffd32797a1a0a13e051656bf302c81f,Control/Counter/up_down_counter/verified_up_down_counter.v,4af9a3fe6a61aefa2e6ba8df99bf10e2f1432a9c2cf460b8267d2ce14e739445,up_down_counter,27,204,16,1,DiagCode(NewlineEOF),1,1,1,clk,0,0,0,0,1,2026-08-25T21:44:32.712049+00:00
AI benchmark reference RTL,RTLLM,https://github.com/hkust-zhiyao/RTLLM,51ed553d0ffd32797a1a0a13e051656bf302c81f,Control/Finite State Machine/fsm/verified_fsm.v,ea1e64be378b21e14efa99484ed4763237328cb5def9fd51fee8f93d4d959c2d,verified_fsm,65,503,11,1,DiagCode(NewlineEOF),1,1,1,CLK,0,0,0,0,1,2026-08-25T21:44:32.712049+00:00
AI benchmark reference RTL,RTLLM,https://github.com/hkust-zhiyao/RTLLM,51ed553d0ffd32797a1a0a13e051656bf302c81f,Control/Finite State Machine/sequence_detector/verified_sequence_detector.v,a4cc0144891bfeccffdbc9a3725b04d45d6ef3f4e07f028b750f4209b96cd965,sequence_detector,38,386,14,1,DiagCode(NewlineEOF),1,1,1,clk,0,0,0,0,1,2026-08-25T21:44:32.712049+00:00
AI benchmark reference RTL,RTLLM,https://github.com/hkust-zhiyao/RTLLM,51ed553d0ffd32797a1a0a13e051656bf302c81f,Memory/FIFO/asyn_fifo/verified_asyn_fifo.v,a209fc65f57bcda0fa930944653f047a8cd530f3bde5f015e4bebb10c58b1a49,dual_port_RAM,21,279,15,1,DiagCode(NewlineEOF),1,2,0,,0,0,0,0,1,2026-08-25T21:44:32.712049+00:00
AI benchmark reference RTL,RTLLM,https://github.com/hkust-zhiyao/RTLLM,51ed553d0ffd32797a1a0a13e051656bf302c81f,Memory/FIFO/asyn_fifo/verified_asyn_fifo.v,a209fc65f57bcda0fa930944653f047a8cd530f3bde5f015e4bebb10c58b1a49,verified_asyn_fifo,104,1112,11,1,DiagCode(NewlineEOF),1,2,0,,0,1,1,0,2,2026-08-25T21:44:32.712049+00:00
AI benchmark reference RTL,RTLLM,https://github.com/hkust-zhiyao/RTLLM,51ed553d0ffd32797a1a0a13e051656bf302c81f,Memory/LIFO/LIFObuffer/verified_LIFObuffer.v,4a5d18d894a4474494e5d06b90d237843b601b05d2cb9acaf532c4f7315bf5a6,LIFObuffer,45,523,20,0,,1,1,1,Clk,0,0,0,0,1,2026-08-25T21:44:32.712049+00:00
AI benchmark reference RTL,RTLLM,https://github.com/hkust-zhiyao/RTLLM,51ed553d0ffd32797a1a0a13e051656bf302c81f,Memory/Shifter/LFSR/verified_LFSR.v,445e1e00eb81aee75b6d7fdd76695c9b2ae73ac9c5105615f75d4b9f2c57af77,LFSR,13,150,12,1,DiagCode(NewlineEOF),1,1,1,clk,0,0,0,0,1,2026-08-25T21:44:32.712049+00:00
AI benchmark reference RTL,RTLLM,https://github.com/hkust-zhiyao/RTLLM,51ed553d0ffd32797a1a0a13e051656bf302c81f,Memory/Shifter/barrel_shifter/verified_barrel_shifter.v,dbfdb5cbbbd3f15709ef5918308c5400839cedf66f3bcb97af48f9b0de986571,barrel_shifter,30,1770,9,1,DiagCode(NewlineEOF),1,0,0,,0,24,24,0,2,2026-08-25T21:44:32.712049+00:00
AI benchmark reference RTL,RTLLM,https://github.com/hkust-zhiyao/RTLLM,51ed553d0ffd32797a1a0a13e051656bf302c81f,Memory/Shifter/barrel_shifter/verified_barrel_shifter.v,dbfdb5cbbbd3f15709ef5918308c5400839cedf66f3bcb97af48f9b0de986571,mux2X1,6,72,7,1,DiagCode(NewlineEOF),1,0,0,,0,0,0,0,1,2026-08-25T21:44:32.712049+00:00
AI benchmark reference RTL,RTLLM,https://github.com/hkust-zhiyao/RTLLM,51ed553d0ffd32797a1a0a13e051656bf302c81f,Memory/Shifter/right_shifter/verified_right_shifter.v,0a3746d0e25ec9ec94cdf9e78bd781f8b3657a2a3b8393985d5d0c5640671364,verified_right_shifter,12,124,9,1,DiagCode(NewlineEOF),1,1,1,clk,0,0,0,0,1,2026-08-25T21:44:32.712049+00:00
AI benchmark reference RTL,RTLLM,https://github.com/hkust-zhiyao/RTLLM,51ed553d0ffd32797a1a0a13e051656bf302c81f,Miscellaneous/Frequency divider/freq_div/verified_freq_div.v,01e245de204b7d8b33f04909e7ed05a4e1f0ec2ef3667dadb7283e9058738950,freq_div,40,346,12,1,DiagCode(NewlineEOF),1,1,1,CLK_in,0,0,0,0,1,2026-08-25T21:44:32.712049+00:00
AI benchmark reference RTL,RTLLM,https://github.com/hkust-zhiyao/RTLLM,51ed553d0ffd32797a1a0a13e051656bf302c81f,Miscellaneous/Frequency divider/freq_divbyeven/verified_freq_divbyeven.v,e9665cac8a75ec9871c4bb4a1425f6075b902d6c05d584fad0a37bfbc6e7f473,freq_divbyeven,25,201,11,1,DiagCode(NewlineEOF),1,1,1,clk,0,0,0,0,1,2026-08-25T21:44:32.712049+00:00
AI benchmark reference RTL,RTLLM,https://github.com/hkust-zhiyao/RTLLM,51ed553d0ffd32797a1a0a13e051656bf302c81f,Miscellaneous/Frequency divider/freq_divbyfrac/verified_freq_divbyfrac.v,b252ccc57171c1807f30bcd7ddd9064d66c424108f361e2d050cefce6714edcd,freq_divbyfrac,50,413,15,0,,1,1,1,clk,0,0,0,0,1,2026-08-25T21:44:32.712049+00:00
AI benchmark reference RTL,RTLLM,https://github.com/hkust-zhiyao/RTLLM,51ed553d0ffd32797a1a0a13e051656bf302c81f,Miscellaneous/Frequency divider/freq_divbyodd/verified_freq_divbyodd.v,8b90949d26263926cce4f9298b7482594e502cf8b103a3028abf1327f8fadaea,freq_divbyodd,43,428,10,1,DiagCode(NewlineEOF),1,1,1,clk,0,0,0,0,1,2026-08-25T21:44:32.712049+00:00
AI benchmark reference RTL,RTLLM,https://github.com/hkust-zhiyao/RTLLM,51ed553d0ffd32797a1a0a13e051656bf302c81f,Miscellaneous/Others/calendar/verified_calendar.v,aa9a3069521b019f973c9c8fdc8fe166ef2e1cbc5d03b29f253e88cb6fe3e7a9,verified_calendar,33,401,14,1,DiagCode(NewlineEOF),1,1,1,CLK,0,0,0,0,1,2026-08-25T21:44:32.712049+00:00
AI benchmark reference RTL,RTLLM,https://github.com/hkust-zhiyao/RTLLM,51ed553d0ffd32797a1a0a13e051656bf302c81f,Miscellaneous/Others/edge_detect/verified_edge_detect.v,6b1596f9961cad0c28efb27c21a7ef527d2afbdf4ff00b263ed2e8082a8fbce6,verified_edge_detect,34,251,14,0,,1,1,1,clk,0,0,0,0,1,2026-08-25T21:44:32.712049+00:00
AI benchmark reference RTL,RTLLM,https://github.com/hkust-zhiyao/RTLLM,51ed553d0ffd32797a1a0a13e051656bf302c81f,Miscellaneous/Others/parallel2serial/verified_parallel2serial.v,730ebfdfce685f046173499418944f1d0cf07a8bc99f9f9f85abbbbaebeb1e1e,verified_parallel2serial,32,292,16,1,DiagCode(NewlineEOF),1,1,1,clk,0,0,0,0,1,2026-08-25T21:44:32.712049+00:00
AI benchmark reference RTL,RTLLM,https://github.com/hkust-zhiyao/RTLLM,51ed553d0ffd32797a1a0a13e051656bf302c81f,Miscellaneous/Others/pulse_detect/verified_pulse_detect.v,6f131f4e47a60986b4dc3c7f9f42f75b82c10ddbc188f9e7b3d2d3ffeb48beda,verified_pulse_detect,54,399,11,0,,1,1,1,clk,0,0,0,0,1,2026-08-25T21:44:32.712049+00:00
AI benchmark reference RTL,RTLLM,https://github.com/hkust-zhiyao/RTLLM,51ed553d0ffd32797a1a0a13e051656bf302c81f,Miscellaneous/Others/serial2parallel/verified_serial2parallel.v,a8c4734b6c7551b1a3e15df46a1f1cd6546d18f451fd3ba944445a76e75ac03a,serial2parallel,38,379,14,0,,1,1,1,clk,0,0,0,0,1,2026-08-25T21:44:32.712049+00:00
AI benchmark reference RTL,RTLLM,https://github.com/hkust-zhiyao/RTLLM,51ed553d0ffd32797a1a0a13e051656bf302c81f,Miscellaneous/Others/synchronizer/verified_synchronizer.v,384bdb6c873e02763cecbe80647460d6eb86222ce0d0fcdeacf6e405f46dd679,verified_synchronizer,39,375,12,0,,1,2,2,clk_a;clk_b,0,0,0,0,1,2026-08-25T21:44:32.712049+00:00
AI benchmark reference RTL,RTLLM,https://github.com/hkust-zhiyao/RTLLM,51ed553d0ffd32797a1a0a13e051656bf302c81f,Miscellaneous/Others/traffic_light/verified_traffic_light.v,f4fe30d2867d48011e1c9d459b318d3cae99ed1959cfb419317d98708a9e89bc,verified_traffic_light,93,751,16,0,,1,1,1,clk,0,0,0,0,1,2026-08-25T21:44:32.712049+00:00
AI benchmark reference RTL,RTLLM,https://github.com/hkust-zhiyao/RTLLM,51ed553d0ffd32797a1a0a13e051656bf302c81f,Miscellaneous/Others/width_8to16/verified_width_8to16.v,2edba8f052b476d73ab83105a06269c1750199a38cd5e418538cfc7cc925685f,verified_width_8to16,37,365,11,1,DiagCode(NewlineEOF),1,1,1,clk,0,0,0,0,1,2026-08-25T21:44:32.712049+00:00
AI benchmark reference RTL,RTLLM,https://github.com/hkust-zhiyao/RTLLM,51ed553d0ffd32797a1a0a13e051656bf302c81f,Miscellaneous/RISC-V/RAM/verified_RAM.v,ddaa3c540dadc1c1d2b6982d7b306e805be5e41c01a3b43ce7038c4aba98333e,verified_RAM,30,323,13,0,,1,1,1,clk,0,0,0,0,1,2026-08-25T21:44:32.712049+00:00
AI benchmark reference RTL,RTLLM,https://github.com/hkust-zhiyao/RTLLM,51ed553d0ffd32797a1a0a13e051656bf302c81f,Miscellaneous/RISC-V/ROM/verified_ROM.v,374b0ab3509914d23f170f35a9d28ced2446cb9770a16484c3cd2c6c2c39b64a,ROM,15,165,9,1,DiagCode(NewlineEOF),1,0,0,,0,0,0,0,1,2026-08-25T21:44:32.712049+00:00
AI benchmark reference RTL,RTLLM,https://github.com/hkust-zhiyao/RTLLM,51ed553d0ffd32797a1a0a13e051656bf302c81f,Miscellaneous/RISC-V/alu/verified_alu.v,98dca493c6f226b3a9781bd69af8a7dd861d635210358779b6ddb20b1d59c8b3,verified_alu,98,992,13,0,,1,0,0,,0,0,0,0,1,2026-08-25T21:44:32.712049+00:00
AI benchmark reference RTL,RTLLM,https://github.com/hkust-zhiyao/RTLLM,51ed553d0ffd32797a1a0a13e051656bf302c81f,Miscellaneous/RISC-V/clkgenerator/verified_clkgenerator.v,62129a458c3648cde000e1eb0ac149d3970b4160664012afbf6f662811e89a92,clkgenerator,11,68,7,0,,1,0,0,,0,0,0,0,1,2026-08-25T21:44:32.712049+00:00
AI benchmark reference RTL,RTLLM,https://github.com/hkust-zhiyao/RTLLM,51ed553d0ffd32797a1a0a13e051656bf302c81f,Miscellaneous/RISC-V/instr_reg/verified_instr_reg.v,164a6818f62494be71793d1b31e8ecc4670e04dd1bef4a4b8344b2c57553dddc,instr_reg,32,342,14,1,DiagCode(NewlineEOF),1,1,1,clk,0,0,0,0,1,2026-08-25T21:44:32.712049+00:00
AI benchmark reference RTL,RTLLM,https://github.com/hkust-zhiyao/RTLLM,51ed553d0ffd32797a1a0a13e051656bf302c81f,Miscellaneous/RISC-V/pe/verified_pe.v,9815e6036337bfbd658c8b767542c3106fb99b02a550b86ccb018eb983e9fe45,verified_pe,21,164,11,1,DiagCode(NewlineEOF),1,1,1,clk,0,0,0,0,1,2026-08-25T21:44:32.712049+00:00
AI benchmark reference RTL,RTLLM,https://github.com/hkust-zhiyao/RTLLM,51ed553d0ffd32797a1a0a13e051656bf302c81f,Miscellaneous/Signal generation/signal_generator/verified_signal_generator.v,ef8fb029d6d48f1560e3663dc7170b6638f8b050f6374ea2bd638145a3d5f503,verified_signal_generator,31,218,15,1,DiagCode(NewlineEOF),1,1,1,clk,0,0,0,0,1,2026-08-25T21:44:32.712049+00:00
AI benchmark reference RTL,RTLLM,https://github.com/hkust-zhiyao/RTLLM,51ed553d0ffd32797a1a0a13e051656bf302c81f,Miscellaneous/Signal generation/square_wave/verified_square_wave.v,f66679b43669251b4f314f17b1fde4b3989edd0562cc251b41958b3a39bb75ff,square_wave,19,148,10,1,DiagCode(NewlineEOF),1,1,1,clk,0,0,0,0,1,2026-08-25T21:44:32.712049+00:00
AI benchmark reference RTL,VerilogEval,https://github.com/NVlabs/verilog-eval,c498220d0a52248f8e3fdffe279075215bde2da6,dataset_spec-to-rtl/Prob001_zero_ref.sv,7f4686eac875da1029bdaa5198b47a5390dc2def846cb58cad07907bd32f40f4,RefModule,5,27,5,0,,1,0,0,,0,0,0,0,1,2026-08-25T21:44:32.712049+00:00
AI benchmark reference RTL,VerilogEval,https://github.com/NVlabs/verilog-eval,c498220d0a52248f8e3fdffe279075215bde2da6,dataset_spec-to-rtl/Prob002_m2014_q4i_ref.sv,f6014e877c9f539ca4dc485bc751c18e5c14017c77f599a0980fcb70b912ad51,RefModule,5,27,5,0,,1,0,0,,0,0,0,0,1,2026-08-25T21:44:32.712049+00:00
AI benchmark reference RTL,VerilogEval,https://github.com/NVlabs/verilog-eval,c498220d0a52248f8e3fdffe279075215bde2da6,dataset_spec-to-rtl/Prob003_step_one_ref.sv,937aeed69765ee339ed853e0876bb2c5da178269e03870b9ed43da6f4dbb2dd3,RefModule,5,27,5,0,,1,0,0,,0,0,0,0,1,2026-08-25T21:44:32.712049+00:00
AI benchmark reference RTL,VerilogEval,https://github.com/NVlabs/verilog-eval,c498220d0a52248f8e3fdffe279075215bde2da6,dataset_spec-to-rtl/Prob004_vector2_ref.sv,db26922b65f2629f191df37254f0c5e93992f2c920b58a64e78e538a9ad5d53b,RefModule,6,101,9,0,,1,0,0,,0,0,0,0,1,2026-08-25T21:44:32.712049+00:00
AI benchmark reference RTL,VerilogEval,https://github.com/NVlabs/verilog-eval,c498220d0a52248f8e3fdffe279075215bde2da6,dataset_spec-to-rtl/Prob005_notgate_ref.sv,b9c7af094411e46248398822c76728653300163f17595b16379f7e475d60cfcf,RefModule,6,35,5,0,,1,0,0,,0,0,0,0,1,2026-08-25T21:44:32.712049+00:00
