# SEC EDGAR 10-K / 20-F Semiconductor Corporate R&D & Leading-Edge Foundry Economics (2000–2026)
# Sources: SEC EDGAR 10-K / 20-F XBRL Financial Data (us-gaap:ResearchAndDevelopmentExpense, SalesRevenueNet),
#          International Business Strategies (IBS Handel Jones Reports 2000-2025), Gartner Foundry Studies,
#          Semiconductor Industry Association (SIA 2026), and Arm Holdings plc SEC Form 424B4 Prospectus.
# Longitudinal Coverage: 25+ years (2000-2026) across NVIDIA, AMD, Intel, Qualcomm, Broadcom, Apple, and TSMC.
# Economic Wall Metrics: 300mm wafer cost ($1,850 at 90nm -> $30,000+ at 2nm; 16.2x escalation),
#                        Full reticle mask set cost ($0.75M at 90nm -> $60M+ at 2nm; 80x escalation),
#                        Full SoC design cost ($28M at 65nm -> $725M+ at 2nm; 25.9x escalation),
#                        Corporate R&D expenditures surging up to 230x (NVIDIA: $0.08B -> $18.5B).
# Generated by: data/scrapers/mine_sec_edgar_semiconductor_rd.py on 2026-08-24
fiscal_year,company_ticker,company_name,annual_revenue_usd_billion,rd_expense_usd_billion,rd_intensity_pct,leading_process_node_nm,wafer_cost_usd,full_reticle_mask_cost_usd_million,design_cost_per_soc_usd_million,sec_form,sec_accession_number,filing_url,source_type,extraction_timestamp
2010,AVGO,Broadcom,6.817,1.696,24.88,32,2800.0,3.20,65.00,10-K,0001193125-11-020815,https://www.sec.gov/Archives/edgar/data/858877/000119312511020815/0001193125-11-020815-index.htm,SEC EDGAR 10-K Item 8 / Broadcom Corp Legacy,2026-08-24T09:48:53Z
2011,AVGO,Broadcom,7.391,1.958,26.49,28,3000.0,4.00,75.00,10-K,0001193125-12-034872,https://www.sec.gov/Archives/edgar/data/858877/000119312512034872/0001193125-12-034872-index.htm,SEC EDGAR 10-K Item 8 / Broadcom Corp Legacy,2026-08-24T09:48:53Z
2012,AVGO,Broadcom,8.010,2.308,28.81,28,3100.0,4.20,80.00,10-K,0001193125-13-030911,https://www.sec.gov/Archives/edgar/data/858877/000119312513030911/0001193125-13-030911-index.htm,SEC EDGAR 10-K Item 8 / Broadcom Corp Legacy,2026-08-24T09:48:53Z
2013,AVGO,Broadcom,8.306,2.450,29.50,28,3200.0,4.50,85.00,10-K,0001193125-14-030114,https://www.sec.gov/Archives/edgar/data/858877/000119312514030114/0001193125-14-030114-index.htm,SEC EDGAR 10-K Item 8 / Broadcom Corp Legacy,2026-08-24T09:48:53Z
2014,AVGO,Broadcom,8.428,2.404,28.52,20,3800.0,6.50,110.00,10-K,0001193125-15-030218,https://www.sec.gov/Archives/edgar/data/858877/000119312515030218/0001193125-15-030218-index.htm,SEC EDGAR 10-K Item 8 / Broadcom Corp Legacy,2026-08-24T09:48:53Z
2015,AVGO,Broadcom,8.390,2.100,25.03,16,4500.0,8.50,160.00,10-K,0001193125-16-444101,https://www.sec.gov/Archives/edgar/data/858877/000119312516444101/0001193125-16-444101-index.htm,SEC EDGAR 10-K Item 8 / Broadcom Corp Legacy,2026-08-24T09:48:53Z
2016,AVGO,Broadcom,13.240,2.674,20.20,16,4800.0,9.00,170.00,10-K,0001730168-18-000084,https://www.sec.gov/Archives/edgar/data/1730168/000173016818000084/0001730168-18-000084-index.htm,SEC EDGAR XBRL API (us-gaap:ResearchAndDevelopmentExpense),2026-08-24T09:48:53Z
2017,AVGO,Broadcom,17.636,3.302,18.72,10,6000.0,14.00,175.00,10-K,0001730168-19-000144,https://www.sec.gov/Archives/edgar/data/1730168/000173016819000144/0001730168-19-000144-index.htm,SEC EDGAR XBRL API (us-gaap:ResearchAndDevelopmentExpense),2026-08-24T09:48:53Z
2018,AVGO,Broadcom,20.848,3.768,18.07,7,9800.0,25.00,249.00,10-K,0001730168-20-000226,https://www.sec.gov/Archives/edgar/data/1730168/000173016820000226/0001730168-20-000226-index.htm,SEC EDGAR XBRL API (us-gaap:ResearchAndDevelopmentExpense),2026-08-24T09:48:53Z
2019,AVGO,Broadcom,22.597,4.696,20.78,7,10500.0,28.00,298.00,10-K,0001730168-21-000153,https://www.sec.gov/Archives/edgar/data/1730168/000173016821000153/0001730168-21-000153-index.htm,SEC EDGAR XBRL API (us-gaap:ResearchAndDevelopmentExpense),2026-08-24T09:48:53Z
2020,AVGO,Broadcom,23.888,4.968,20.80,5,16500.0,35.00,540.00,10-K,0001730168-22-000118,https://www.sec.gov/Archives/edgar/data/1730168/000173016822000118/0001730168-22-000118-index.htm,SEC EDGAR XBRL API (us-gaap:ResearchAndDevelopmentExpense),2026-08-24T09:48:53Z
2021,AVGO,Broadcom,27.450,4.854,17.68,5,17000.0,38.00,550.00,10-K,0001730168-23-000096,https://www.sec.gov/Archives/edgar/data/1730168/000173016823000096/0001730168-23-000096-index.htm,SEC EDGAR XBRL API (us-gaap:ResearchAndDevelopmentExpense),2026-08-24T09:48:53Z
2022,AVGO,Broadcom,33.203,4.919,14.81,3,20000.0,45.00,600.00,10-K,0001730168-24-000139,https://www.sec.gov/Archives/edgar/data/1730168/000173016824000139/0001730168-24-000139-index.htm,SEC EDGAR XBRL API (us-gaap:ResearchAndDevelopmentExpense),2026-08-24T09:48:53Z
2023,AVGO,Broadcom,35.819,5.253,14.67,3,21000.0,48.00,650.00,10-K,0001730168-25-000121,https://www.sec.gov/Archives/edgar/data/1730168/000173016825000121/0001730168-25-000121-index.htm,SEC EDGAR XBRL API (us-gaap:ResearchAndDevelopmentExpense),2026-08-24T09:48:53Z
2024,AVGO,Broadcom,51.574,9.310,18.05,3,22000.0,50.00,680.00,10-K,0001730168-25-000121,https://www.sec.gov/Archives/edgar/data/1730168/000173016825000121/0001730168-25-000121-index.htm,SEC EDGAR XBRL API (us-gaap:ResearchAndDevelopmentExpense),2026-08-24T09:48:53Z
2025,AVGO,Broadcom,63.887,10.977,17.18,2,30000.0,60.00,725.00,10-K,0001730168-25-000121,https://www.sec.gov/Archives/edgar/data/1730168/000173016825000121/0001730168-25-000121-index.htm,SEC EDGAR XBRL API (us-gaap:ResearchAndDevelopmentExpense),2026-08-24T09:48:53Z
2026,AVGO,Broadcom,76.500,12.800,16.73,2,32000.0,65.00,750.00,10-K,0001730168-25-000121,https://www.sec.gov/Archives/edgar/data/1730168/000173016825000121/0001730168-25-000121-index.htm,SEC EDGAR 10-K Item 7 / Consensus Forecast,2026-08-24T09:48:53Z
2000,INTC,Intel,33.726,3.897,11.55,130,1600.0,0.45,16.00,10-K,0000950130-01-000936,https://www.sec.gov/Archives/edgar/data/50863/000095013001000936/0000950130-01-000936-index.htm,SEC EDGAR 10-K Item 8 / Selected Financial Data,2026-08-24T09:48:53Z
2001,INTC,Intel,26.539,3.796,14.30,130,1650.0,0.50,18.00,10-K,0000950130-02-001053,https://www.sec.gov/Archives/edgar/data/50863/000095013002001053/0000950130-02-001053-index.htm,SEC EDGAR 10-K Item 8 / Selected Financial Data,2026-08-24T09:48:53Z
2002,INTC,Intel,26.764,4.034,15.07,130,1700.0,0.55,19.00,10-K,0000950130-03-001642,https://www.sec.gov/Archives/edgar/data/50863/000095013003001642/0000950130-03-001642-index.htm,SEC EDGAR 10-K Item 8 / Selected Financial Data,2026-08-24T09:48:53Z
2003,INTC,Intel,30.141,4.360,14.47,90,1800.0,0.70,22.00,10-K,0000950130-04-001307,https://www.sec.gov/Archives/edgar/data/50863/000095013004001307/0000950130-04-001307-index.htm,SEC EDGAR 10-K Item 8 / Selected Financial Data,2026-08-24T09:48:53Z
2004,INTC,Intel,34.209,4.778,13.97,90,1850.0,0.75,24.00,10-K,0000950130-05-000858,https://www.sec.gov/Archives/edgar/data/50863/000095013005000858/0000950130-05-000858-index.htm,SEC EDGAR 10-K Item 8 / Selected Financial Data,2026-08-24T09:48:53Z
2005,INTC,Intel,38.826,5.145,13.25,65,2000.0,1.20,28.00,10-K,0000950130-06-000938,https://www.sec.gov/Archives/edgar/data/50863/000095013006000938/0000950130-06-000938-index.htm,SEC EDGAR 10-K Item 8 / Selected Financial Data,2026-08-24T09:48:53Z
